"","X.1","X","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","latitude","longitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"246",246,246,30440,NA,2012,"Thursday","Auto","Fixed Object","Hampshire St"," Hampshire St &  Cambridge, MA",42.3768005,-71.1483002,"clear","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"247",247,247,30748,NA,2012,"Monday","Auto","Parked Vehicle","Watson St"," Watson St &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"248",248,248,30475,NA,2012,"Saturday","Auto","Parked Vehicle","Carver St"," Carver St &  Cambridge, MA",42.3768005,-71.1483002,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"249",249,249,30481,NA,2012,"Tuesday","Auto","Auto","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",42.3768005,-71.1483002,"rain","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"250",250,250,1500000778,NA,2015,"Thursday","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","","186 RIVER STREET","",42.3768005,-71.1483002,"SUNNY","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"251",251,251,30521,NA,2012,"Sunday","Auto","Moped","Cedar St"," Cedar St &  Cambridge, MA",42.3768005,-71.1483002,"snow","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"252",252,252,30524,NA,2012,"Tuesday","Auto","Auto","Cardinal Medeiros Ave"," Cardinal Medeiros Ave &  Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"253",253,253,1500000780,NA,2015,"Thursday","PASSENGER CAR","","MASSACHUSETTS  AVE","MASSACHUSETTS  AVE",42.3768005,-71.1483002,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"254",254,254,1500000353,NA,2015,"Tuesday","PASSENGER CAR","PASSENGER CAR","MT AUBURN ST","MT AUBURN ST",42.3768005,-71.1483002,"clear","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"255",255,255,30539,NA,2012,"Friday","Auto","Auto","HURON AVE"," HURON AVE & GROVE AVE Cambridge, MA",42.3768005,-71.1483002,"cloudy","7","2",NA,NA,NA,NA,NA,NA,"Spring"
"256",256,256,30542,NA,2012,"Saturday","Auto","Parked Vehicle","Richdale Ave"," Richdale Ave &  Cambridge, MA",42.3768005,-71.1483002,"sleet,hail,freezing rain or drizzle","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"257",257,257,30885,NA,2012,"Friday","Auto","Auto","MEMORIAL DR"," MEMORIAL DR &  Cambridge, MA",42.3768005,-71.1483002,"snow","7","1",NA,NA,NA,NA,NA,NA,"Spring"
"258",258,258,30552,NA,2012,"Monday","School Bus","Auto","SHERMAN ST"," SHERMAN ST &  Cambridge, MA",42.3768005,-71.1483002,"sleet,hail,freezing rain or drizzle","7","2",NA,NA,NA,NA,NA,NA,"Spring"
